contract_id,transaction_count,client_id,contract_start,contract_end,total_payment_amt,average_default_amt,default_rate,contract_duration_days,transaction_frequency_per_day
1,31,248,2017-07-03 18:08:05,2018-07-23 18:08:07,1390.0,60.0,0.12903225806451613,385,12.419354838709678
2,22,653,2017-07-30 18:08:40,2018-05-20 18:08:30,1327.0,0.0,0.0,293,13.318181818181818
3,12,90,2017-07-17 18:08:25,2018-07-23 18:08:07,5367.0,10.0,0.16666666666666666,370,30.833333333333332
4,1,134,2018-02-19 17:08:22,2018-02-19 17:08:22,0.01,0.0,0.0,0,0.0
5,25,545,2017-07-03 18:08:05,2018-07-15 18:09:18,7060.0,160.0,0.04,377,15.08
6,20,587,2017-07-20 18:08:31,2018-04-29 18:08:32,1700.0,566.6633333333333,0.15,283,14.15
7,34,885,2017-07-20 18:08:31,2018-07-02 18:08:46,11510.13,2051.7200000000003,0.08823529411764706,347,10.205882352941176
8,1,387,2018-05-30 18:08:33,2018-05-30 18:08:33,0.01,0.0,0.0,0,0.0
9,2,335,2018-03-15 17:08:24,2018-03-21 17:08:26,2188.23,2188.22,0.5,6,3.0
10,27,112,2017-07-05 18:08:09,2018-04-29 18:08:33,3790.42,557.9066666666666,0.1111111111111111,298,11.037037037037036
11,4,220,2017-07-06 18:08:10,2017-07-24 18:08:35,197.5,48.99,0.25,18,4.5
12,2,698,2017-07-11 18:08:16,2017-07-11 18:08:16,466.67,0.0,0.0,0,0.0
13,10,553,2017-07-02 18:08:03,2017-07-18 18:08:26,1119.99,186.665,0.4,16,1.6
14,2,215,2017-07-02 18:08:02,2017-07-02 18:08:02,186.66,0.0,0.0,0,0.0
15,2,511,2017-07-02 18:08:02,2017-07-02 18:08:02,186.66,0.0,0.0,0,0.0
16,2,106,2017-07-02 18:08:04,2017-07-02 18:08:04,840.0,0.0,0.0,0,0.0
17,2,641,2017-07-02 18:08:04,2017-07-02 18:08:04,1866.67,0.0,0.0,0,0.0
18,2,780,2017-07-02 18:08:02,2017-07-02 18:08:02,188.32999999999998,0.0,0.0,0,0.0
19,2,757,2017-07-19 18:08:30,2017-07-19 18:08:30,1166.66,0.01,0.5,0,0.0
20,2,206,2017-07-02 18:08:02,2017-07-02 18:08:02,282.5,0.0,0.0,0,0.0
21,2,79,2017-07-02 18:08:03,2017-07-02 18:08:03,565.0,0.0,0.0,0,0.0
22,2,389,2017-07-02 18:08:04,2017-07-02 18:08:05,1883.3300000000002,0.0,0.0,0,0.0
23,2,524,2017-07-03 18:08:06,2017-07-03 18:08:06,550.0,0.0,0.0,0,0.0
24,2,418,2017-07-03 18:08:06,2017-07-03 18:08:06,641.6600000000001,0.0,0.0,0,0.0
25,2,654,2017-07-03 18:08:05,2017-07-03 18:08:06,282.5,0.0,0.0,0,0.0
26,2,338,2017-07-30 18:08:41,2017-07-30 18:08:41,28.67,28.67,0.5,0,0.0
27,2,3,2017-07-06 18:08:10,2017-07-06 18:08:10,565.0,0.0,0.0,0,0.0
28,2,810,2017-07-17 18:08:25,2017-07-17 18:08:25,733.3299999999999,0.0,0.0,0,0.0
29,2,23,2017-07-04 18:08:07,2017-07-04 18:08:07,560.0,0.0,0.0,0,0.0
30,2,936,2017-07-09 18:08:11,2017-07-09 18:08:11,186.66,0.0,0.0,0,0.0
31,10,465,2017-07-09 18:08:11,2017-07-19 18:08:28,1119.99,186.665,0.4,10,1.0
32,2,1058,2017-07-09 18:08:13,2017-07-09 18:08:13,916.6600000000001,0.0,0.0,0,0.0
33,2,267,2017-07-09 18:08:11,2017-07-09 18:08:11,282.5,0.0,0.0,0,0.0
34,2,286,2017-07-09 18:08:12,2017-07-09 18:08:12,565.0,0.0,0.0,0,0.0
35,2,1042,2017-07-17 18:08:25,2017-07-17 18:08:25,373.33,0.0,0.0,0,0.0
36,2,104,2017-07-23 18:08:34,2017-07-23 18:08:34,1833.3300000000002,0.0,0.0,0,0.0
37,2,179,2017-07-09 18:08:12,2017-07-09 18:08:12,560.0,0.0,0.0,0,0.0
38,2,46,2017-07-09 18:08:14,2017-07-09 18:08:14,1866.66,0.0,0.0,0,0.0
39,2,643,2017-07-10 18:08:15,2017-07-10 18:08:15,1213.33,0.0,0.0,0,0.0
