transaction_id,contract_id,client_id,transaction_date,payment_amt,payment_code
20175,927,1,2018-05-22 18:08:31,66.66,PAYMENT
8485,927,1,2017-11-26 17:08:15,66.66,PAYMENT
13778,927,1,2018-02-22 17:08:23,66.66,PAYMENT
22768,927,1,2018-06-24 18:08:44,66.66,PAYMENT
15698,927,1,2018-03-22 17:08:24,66.66,PAYMENT
25167,927,1,2018-07-22 18:08:07,416.67,PAYMENT
8322,927,1,2017-11-22 17:08:16,5050.04,PAYMENT
8484,927,1,2017-11-26 17:08:15,466.67,PAYMENT
17649,927,1,2018-04-22 18:08:31,416.67,PAYMENT
8323,927,1,2017-11-22 17:08:16,50.0,PAYMENT
17650,927,1,2018-04-22 18:08:31,66.66,PAYMENT
20174,927,1,2018-05-22 18:08:31,416.67,PAYMENT
13777,927,1,2018-02-22 17:08:23,416.67,PAYMENT
15697,927,1,2018-03-22 17:08:24,416.67,PAYMENT
25168,927,1,2018-07-22 18:08:07,66.66,PAYMENT
10126,927,1,2017-12-21 17:08:22,66.66,PAYMENT
10125,927,1,2017-12-21 17:08:22,416.67,PAYMENT
22767,927,1,2018-06-24 18:08:44,416.67,PAYMENT
20288,1368,2,2018-05-23 18:08:32,1716.67,PAYMENT
19822,1368,2,2018-05-20 18:08:30,20050.04,PAYMENT
22569,1368,2,2018-06-20 18:08:46,1666.67,PAYMENT
22570,1368,2,2018-06-20 18:08:46,266.66,PAYMENT
25301,1368,2,2018-07-22 18:08:11,1666.67,PAYMENT
25302,1368,2,2018-07-22 18:08:11,266.66,PAYMENT
19823,1368,2,2018-05-20 18:08:30,50.0,PAYMENT
20289,1368,2,2018-05-23 18:08:32,266.66,PAYMENT
346,27,3,2017-07-06 18:08:10,500.0,PAYMENT
11886,929,3,2018-01-23 17:08:20,26.66,PAYMENT
347,27,3,2017-07-06 18:08:10,65.0,PAYMENT
20240,929,3,2018-05-23 18:08:31,166.67,PAYMENT
20241,929,3,2018-05-23 18:08:31,26.66,PAYMENT
15767,929,3,2018-03-25 17:08:27,166.67,PAYMENT
11885,929,3,2018-01-23 17:08:20,166.67,PAYMENT
17840,929,3,2018-04-23 18:08:28,26.66,PAYMENT
13836,929,3,2018-02-25 17:08:22,26.66,PAYMENT
8382,929,3,2017-11-23 17:08:15,50.0,PAYMENT
8381,929,3,2017-11-23 17:08:15,2050.04,PAYMENT
8453,929,3,2017-11-26 17:08:14,26.66,PAYMENT
10095,929,3,2017-12-21 17:08:21,26.66,PAYMENT
8452,929,3,2017-11-26 17:08:14,216.67,PAYMENT
13835,929,3,2018-02-25 17:08:22,166.67,PAYMENT
10094,929,3,2017-12-21 17:08:21,166.67,PAYMENT
15768,929,3,2018-03-25 17:08:27,26.66,PAYMENT
22750,929,3,2018-06-24 18:08:44,26.66,PAYMENT
17839,929,3,2018-04-23 18:08:28,166.67,PAYMENT
22749,929,3,2018-06-24 18:08:44,166.67,PAYMENT
10205,796,4,2017-12-26 17:08:15,53.33,PAYMENT
17974,796,4,2018-04-25 18:08:30,53.33,PAYMENT
5051,796,4,2017-09-25 18:08:11,50.0,PAYMENT
10204,796,4,2017-12-26 17:08:15,333.33,PAYMENT
8456,796,4,2017-11-26 17:08:14,333.33,PAYMENT
6708,796,4,2017-10-25 17:08:14,333.33,PAYMENT
11951,796,4,2018-01-24 17:08:21,333.33,PAYMENT
17973,796,4,2018-04-25 18:08:30,333.33,PAYMENT
8457,796,4,2017-11-26 17:08:14,53.33,PAYMENT
6709,796,4,2017-10-25 17:08:14,53.33,PAYMENT
13845,796,4,2018-02-25 17:08:22,333.33,PAYMENT
11952,796,4,2018-01-24 17:08:21,53.33,PAYMENT
20418,796,4,2018-05-27 18:08:32,53.33,PAYMENT
15775,796,4,2018-03-25 17:08:27,333.33,PAYMENT
15776,796,4,2018-03-25 17:08:27,53.33,PAYMENT
5232,796,4,2017-09-28 18:08:10,53.33,PAYMENT
5231,796,4,2017-09-28 18:08:10,383.33,PAYMENT
22942,796,4,2018-06-25 18:08:44,53.33,PAYMENT
13846,796,4,2018-02-25 17:08:22,53.33,PAYMENT
20417,796,4,2018-05-27 18:08:32,333.33,PAYMENT
22941,796,4,2018-06-25 18:08:44,333.33,PAYMENT
5050,796,4,2017-09-25 18:08:10,4049.96,PAYMENT
67,543,5,2017-07-02 18:08:03,416.67,PAYMENT
68,543,5,2017-07-02 18:08:03,66.66,PAYMENT
3105,543,5,2017-08-21 18:09:13,495.0,PAYMENT
3106,543,5,2017-08-21 18:09:13,3750.03,PAYMENT
1943,543,5,2017-08-01 18:08:46,416.67,PAYMENT
1944,543,5,2017-08-01 18:08:46,66.66,PAYMENT
24388,1596,6,2018-07-12 18:09:17,50.0,PAYMENT
8336,521,6,2017-11-22 17:08:16,416.67,PAYMENT
24579,1596,6,2018-07-15 18:09:21,883.33,PAYMENT
8337,521,6,2017-11-22 17:08:16,66.66,PAYMENT
24387,1596,6,2018-07-12 18:09:17,10049.96,PAYMENT
17627,521,6,2018-04-22 18:08:31,416.67,PAYMENT
24580,1596,6,2018-07-15 18:09:21,133.33,PAYMENT
17628,521,6,2018-04-22 18:08:31,66.66,PAYMENT
15692,521,6,2018-03-22 17:08:24,66.66,PAYMENT
15691,521,6,2018-03-22 17:08:24,416.67,PAYMENT
4931,521,6,2017-09-24 18:08:10,416.67,PAYMENT
4932,521,6,2017-09-24 18:08:10,66.66,PAYMENT
10115,521,6,2017-12-21 17:08:21,416.67,PAYMENT
10116,521,6,2017-12-21 17:08:21,66.66,PAYMENT
1340,521,6,2017-07-23 18:08:32,416.67,PAYMENT
1341,521,6,2017-07-23 18:08:32,66.66,PAYMENT
3202,521,6,2017-08-22 18:09:15,416.67,PAYMENT
3203,521,6,2017-08-22 18:09:15,66.66,PAYMENT
6456,521,6,2017-10-22 17:08:14,416.67,PAYMENT
6457,521,6,2017-10-22 17:08:14,66.66,PAYMENT
13769,521,6,2018-02-22 17:08:23,416.67,PAYMENT
13770,521,6,2018-02-22 17:08:23,66.66,PAYMENT
9648,836,7,2017-12-17 17:08:18,66.66,PAYMENT
13366,836,7,2018-02-18 17:08:23,416.67,PAYMENT
15231,836,7,2018-03-18 17:08:23,50.0,DEFAULT
17934,836,7,2018-04-23 18:08:30,3333.35,PAYMENT
14979,836,7,2018-03-13 17:08:22,66.66,DEFAULT
15128,836,7,2018-03-14 17:08:27,50.0,PAYMENT
14162,836,7,2018-02-28 17:08:22,66.66,DEFAULT
9647,836,7,2017-12-17 17:08:18,416.67,PAYMENT
7940,836,7,2017-11-16 17:08:17,66.66,PAYMENT
14794,836,7,2018-03-11 17:08:24,66.66,PAYMENT
13998,836,7,2018-02-26 17:08:22,66.66,PAYMENT
13997,836,7,2018-02-26 17:08:22,416.67,PAYMENT
14793,836,7,2018-03-11 17:08:24,416.67,PAYMENT
15232,836,7,2018-03-18 17:08:23,100.0,DEFAULT
14161,836,7,2018-02-28 17:08:22,416.67,DEFAULT
15230,836,7,2018-03-18 17:08:23,50.0,DEFAULT
15130,836,7,2018-03-14 17:08:27,100.0,PAYMENT
7939,836,7,2017-11-16 17:08:17,416.67,PAYMENT
15129,836,7,2018-03-14 17:08:27,50.0,PAYMENT
13584,836,7,2018-02-20 17:08:22,66.66,DEFAULT
11457,836,7,2018-01-16 17:08:19,416.67,PAYMENT
6375,836,7,2017-10-19 17:08:10,66.66,PAYMENT
13367,836,7,2018-02-18 17:08:23,66.66,PAYMENT
14978,836,7,2018-03-13 17:08:22,416.67,DEFAULT
13583,836,7,2018-02-20 17:08:22,416.67,DEFAULT
6161,836,7,2017-10-16 17:08:14,5050.04,PAYMENT
6162,836,7,2017-10-16 17:08:14,50.0,PAYMENT
11458,836,7,2018-01-16 17:08:19,66.66,PAYMENT
6374,836,7,2017-10-19 17:08:10,466.67,PAYMENT
4108,412,8,2017-09-10 18:09:37,833.33,PAYMENT
23977,1139,8,2018-07-08 18:09:21,1000.0,PAYMENT
4109,412,8,2017-09-10 18:09:37,125.0,PAYMENT
18887,1139,8,2018-05-07 18:08:33,1000.0,PAYMENT
9247,412,8,2017-12-10 17:08:17,833.33,PAYMENT
16655,1139,8,2018-04-08 18:08:29,1000.0,PAYMENT
9248,412,8,2017-12-10 17:08:17,125.0,PAYMENT
14509,1139,8,2018-03-06 17:08:21,50.0,PAYMENT
2335,412,8,2017-08-08 18:08:55,833.33,PAYMENT
16656,1139,8,2018-04-08 18:08:29,150.0,PAYMENT
2336,412,8,2017-08-08 18:08:55,125.0,PAYMENT
21255,1139,8,2018-06-06 18:09:10,150.0,PAYMENT
10906,412,8,2018-01-08 17:08:19,833.33,PAYMENT
23978,1139,8,2018-07-08 18:09:21,150.0,PAYMENT
10907,412,8,2018-01-08 17:08:19,125.0,PAYMENT
14851,1139,8,2018-03-11 17:08:26,1050.0,PAYMENT
5708,412,8,2017-10-08 17:08:14,833.33,PAYMENT
21254,1139,8,2018-06-06 18:09:10,1000.0,PAYMENT
5709,412,8,2017-10-08 17:08:14,125.0,PAYMENT
14852,1139,8,2018-03-11 17:08:26,150.0,PAYMENT
12769,412,8,2018-02-08 17:08:19,833.33,PAYMENT
18888,1139,8,2018-05-07 18:08:33,150.0,PAYMENT
12770,412,8,2018-02-08 17:08:19,125.0,PAYMENT
14508,1139,8,2018-03-06 17:08:21,12050.0,PAYMENT
7478,412,8,2017-11-08 17:08:13,833.33,PAYMENT
7479,412,8,2017-11-08 17:08:13,125.0,PAYMENT
491,412,8,2017-07-09 18:08:13,833.33,PAYMENT
492,412,8,2017-07-09 18:08:13,125.0,PAYMENT
18893,737,8,2018-05-07 18:08:33,1250.0,PAYMENT
14390,737,8,2018-03-04 17:08:28,187.5,PAYMENT
8974,737,8,2017-12-04 17:08:17,1250.0,PAYMENT
8975,737,8,2017-12-04 17:08:17,187.5,PAYMENT
21093,737,8,2018-06-04 18:09:09,1250.0,PAYMENT
10700,737,8,2018-01-04 17:08:17,1250.0,PAYMENT
10701,737,8,2018-01-04 17:08:17,187.5,PAYMENT
14389,737,8,2018-03-04 17:08:28,1250.0,PAYMENT
5544,737,8,2017-10-04 17:08:11,1250.0,PAYMENT
5545,737,8,2017-10-04 17:08:11,187.5,PAYMENT
18894,737,8,2018-05-07 18:08:33,187.5,PAYMENT
12471,737,8,2018-02-04 17:08:22,1250.0,PAYMENT
12472,737,8,2018-02-04 17:08:22,187.5,PAYMENT
21094,737,8,2018-06-04 18:09:09,187.5,PAYMENT
16424,737,8,2018-04-04 18:08:27,1250.0,PAYMENT
16425,737,8,2018-04-04 18:08:27,187.5,PAYMENT
23692,737,8,2018-07-04 18:08:46,1250.0,PAYMENT
23693,737,8,2018-07-04 18:08:46,187.5,PAYMENT
7267,737,8,2017-11-05 17:08:15,1250.0,PAYMENT
7268,737,8,2017-11-05 17:08:15,187.5,PAYMENT
3793,737,8,2017-09-04 18:09:29,15050.0,PAYMENT
3794,737,8,2017-09-04 18:09:29,50.0,PAYMENT
3993,737,8,2017-09-07 18:09:34,1300.0,PAYMENT
3994,737,8,2017-09-07 18:09:34,187.5,PAYMENT
1117,154,8,2017-07-18 18:08:27,140.0,PAYMENT
1116,154,8,2017-07-18 18:08:27,1000.0,PAYMENT
3043,154,8,2017-08-20 18:09:12,140.0,PAYMENT
3042,154,8,2017-08-20 18:09:12,1000.0,PAYMENT
23661,1539,9,2018-07-04 18:08:46,19.5,PAYMENT
23660,1539,9,2018-07-04 18:08:46,500.01,PAYMENT
23321,1539,9,2018-07-01 18:08:46,0.01,PAYMENT
23320,1539,9,2018-07-01 18:08:46,6000.01,PAYMENT
10298,793,10,2017-12-26 17:08:18,1666.67,PAYMENT
15862,793,10,2018-03-25 17:08:29,266.66,PAYMENT
13936,793,10,2018-02-25 17:08:25,266.66,PAYMENT
20356,793,10,2018-05-24 18:08:33,266.66,PAYMENT
25532,793,10,2018-07-24 18:08:09,266.66,PAYMENT
20355,793,10,2018-05-24 18:08:33,1666.67,PAYMENT
15861,793,10,2018-03-25 17:08:29,1666.67,PAYMENT
22857,793,10,2018-06-24 18:08:46,1666.67,PAYMENT
4895,793,10,2017-09-24 18:08:09,20050.04,PAYMENT
22858,793,10,2018-06-24 18:08:46,266.66,PAYMENT
8562,793,10,2017-11-26 17:08:17,1666.67,PAYMENT
17905,793,10,2018-04-23 18:08:30,1666.67,PAYMENT
6682,793,10,2017-10-24 17:08:11,1666.67,PAYMENT
5199,793,10,2017-09-27 18:08:09,266.66,PAYMENT
12015,793,10,2018-01-24 17:08:22,1666.67,PAYMENT
12016,793,10,2018-01-24 17:08:22,266.66,PAYMENT
4896,793,10,2017-09-24 18:08:09,50.0,PAYMENT
6683,793,10,2017-10-24 17:08:11,266.66,PAYMENT
17906,793,10,2018-04-23 18:08:30,266.66,PAYMENT
13935,793,10,2018-02-25 17:08:25,1666.67,PAYMENT
25531,793,10,2018-07-24 18:08:09,1666.67,PAYMENT
10299,793,10,2017-12-26 17:08:18,266.66,PAYMENT
5198,793,10,2017-09-27 18:08:09,1716.67,PAYMENT
8563,793,10,2017-11-26 17:08:17,266.66,PAYMENT
5009,220,11,2017-09-24 18:08:12,199.99,PAYMENT
20125,991,11,2018-05-21 18:08:35,2000.0,PAYMENT
5008,220,11,2017-09-24 18:08:12,1666.67,PAYMENT
22687,991,11,2018-06-21 18:08:52,320.0,PAYMENT
1493,220,11,2017-07-24 18:08:36,1666.67,PAYMENT
10025,991,11,2017-12-21 17:08:19,24050.0,PAYMENT
1494,220,11,2017-07-24 18:08:36,199.99,PAYMENT
13746,991,11,2018-02-21 17:08:23,2000.0,PAYMENT
3333,220,11,2017-08-24 18:09:18,1666.67,PAYMENT
22686,991,11,2018-06-21 18:08:52,2000.0,PAYMENT
3334,220,11,2017-08-24 18:09:18,199.99,PAYMENT
10315,991,11,2017-12-26 17:08:18,320.0,PAYMENT
25334,991,11,2018-07-22 18:08:11,320.0,PAYMENT
20126,991,11,2018-05-21 18:08:35,320.0,PAYMENT
25333,991,11,2018-07-22 18:08:11,2000.0,PAYMENT
17788,991,11,2018-04-22 18:08:36,320.0,PAYMENT
14081,991,11,2018-02-27 17:08:24,2000.0,PAYMENT
15665,991,11,2018-03-21 17:08:27,320.0,PAYMENT
11841,991,11,2018-01-21 17:08:23,320.0,PAYMENT
10026,991,11,2017-12-21 17:08:19,50.0,PAYMENT
13747,991,11,2018-02-21 17:08:23,320.0,PAYMENT
17787,991,11,2018-04-22 18:08:36,2000.0,PAYMENT
10314,991,11,2017-12-26 17:08:18,2050.0,PAYMENT
15664,991,11,2018-03-21 17:08:27,2000.0,PAYMENT
13815,991,11,2018-02-25 17:08:22,2000.0,DEFAULT
11840,991,11,2018-01-21 17:08:23,2000.0,PAYMENT
13816,991,11,2018-02-25 17:08:22,320.0,DEFAULT
14082,991,11,2018-02-27 17:08:24,320.0,PAYMENT
22697,1493,12,2018-06-21 18:08:52,400.0,PAYMENT
22314,1493,12,2018-06-18 18:08:42,30050.0,PAYMENT
24997,1493,12,2018-07-18 18:09:20,400.0,PAYMENT
22696,1493,12,2018-06-21 18:08:52,2550.0,PAYMENT
24996,1493,12,2018-07-18 18:09:20,2500.0,PAYMENT
22315,1493,12,2018-06-18 18:08:42,50.0,PAYMENT
4231,493,13,2017-09-12 18:09:40,416.67,PAYMENT
4232,493,13,2017-09-12 18:09:40,33.33,PAYMENT
4233,493,13,2017-09-12 18:09:40,416.67,PAYMENT
4234,493,13,2017-09-12 18:09:40,33.33,PAYMENT
4235,493,13,2017-09-12 18:09:40,416.67,PAYMENT
4236,493,13,2017-09-12 18:09:40,33.33,PAYMENT
4237,493,13,2017-09-12 18:09:40,416.67,PAYMENT
4238,493,13,2017-09-12 18:09:40,33.33,PAYMENT
4239,493,13,2017-09-12 18:09:40,33.33,PAYMENT
4240,493,13,2017-09-12 18:09:40,148.84,PAYMENT
5209,493,13,2017-09-28 18:08:09,416.67,PAYMENT
5210,493,13,2017-09-28 18:08:09,33.33,PAYMENT
5211,493,13,2017-09-28 18:08:09,416.67,PAYMENT
5212,493,13,2017-09-28 18:08:09,33.33,PAYMENT
5213,493,13,2017-09-28 18:08:09,416.67,PAYMENT
5214,493,13,2017-09-28 18:08:09,33.33,PAYMENT
5217,493,13,2017-09-28 18:08:09,33.33,PAYMENT
5218,493,13,2017-09-28 18:08:09,163.43,PAYMENT
5219,493,13,2017-09-28 18:08:09,104.4,PAYMENT
2660,493,13,2017-08-14 18:09:03,416.67,PAYMENT
2661,493,13,2017-08-14 18:09:03,33.33,PAYMENT
850,493,13,2017-07-16 18:08:21,416.67,PAYMENT
851,493,13,2017-07-16 18:08:21,33.33,PAYMENT
16214,1038,14,2018-04-02 18:08:29,833.33,PAYMENT
16215,1038,14,2018-04-02 18:08:29,133.33,PAYMENT
11770,1038,14,2018-01-21 17:08:22,883.33,PAYMENT
11508,1038,14,2018-01-17 17:08:18,10049.96,PAYMENT
11771,1038,14,2018-01-21 17:08:22,133.33,PAYMENT
23515,1038,14,2018-07-02 18:08:46,133.33,PAYMENT
14361,1038,14,2018-03-04 17:08:28,833.33,PAYMENT
20924,1038,14,2018-06-03 18:08:33,133.33,PAYMENT
18534,1038,14,2018-05-02 18:08:30,133.33,PAYMENT
23514,1038,14,2018-07-02 18:08:46,833.33,PAYMENT
11509,1038,14,2018-01-17 17:08:18,50.0,PAYMENT
20923,1038,14,2018-06-03 18:08:33,833.33,PAYMENT
18533,1038,14,2018-05-02 18:08:30,833.33,PAYMENT
14362,1038,14,2018-03-04 17:08:28,133.33,PAYMENT
1748,97,15,2017-07-30 18:08:41,416.67,PAYMENT
1749,97,15,2017-07-30 18:08:41,70.83,PAYMENT
14365,1121,16,2018-03-04 17:08:28,883.33,PAYMENT
18258,1121,16,2018-04-29 18:08:30,833.33,PAYMENT
23123,1121,16,2018-06-27 18:08:45,133.33,PAYMENT
23122,1121,16,2018-06-27 18:08:45,833.33,PAYMENT
14050,1121,16,2018-02-27 17:08:23,50.0,PAYMENT
14049,1121,16,2018-02-27 17:08:23,10049.96,PAYMENT
20464,1121,16,2018-05-27 18:08:34,133.33,PAYMENT
16027,1121,16,2018-03-27 17:08:27,833.33,PAYMENT
14366,1121,16,2018-03-04 17:08:28,133.33,PAYMENT
18259,1121,16,2018-04-29 18:08:30,133.33,PAYMENT
16028,1121,16,2018-03-27 17:08:27,133.33,PAYMENT
20463,1121,16,2018-05-27 18:08:34,833.33,PAYMENT
12985,624,17,2018-02-12 17:08:21,83.33,PAYMENT
4249,624,17,2017-09-12 18:09:40,83.33,PAYMENT
4250,624,17,2017-09-12 18:09:40,13.33,PAYMENT
14938,624,17,2018-03-12 17:08:25,83.33,PAYMENT
826,624,17,2017-07-16 18:08:21,133.33,PAYMENT
9404,624,17,2017-12-12 17:08:15,83.33,PAYMENT
9405,624,17,2017-12-12 17:08:15,13.33,PAYMENT
2522,624,17,2017-08-13 18:08:59,83.33,PAYMENT
2523,624,17,2017-08-13 18:08:59,13.33,PAYMENT
12986,624,17,2018-02-12 17:08:21,13.33,PAYMENT
689,624,17,2017-07-12 18:08:17,1049.96,PAYMENT
690,624,17,2017-07-12 18:08:17,50.0,PAYMENT
11181,624,17,2018-01-14 17:08:20,83.33,PAYMENT
11182,624,17,2018-01-14 17:08:20,13.33,PAYMENT
5965,624,17,2017-10-12 17:08:12,83.33,PAYMENT
5966,624,17,2017-10-12 17:08:12,13.33,PAYMENT
16992,624,17,2018-04-12 18:08:26,83.33,PAYMENT
16993,624,17,2018-04-12 18:08:26,13.33,PAYMENT
21752,624,17,2018-06-12 18:09:01,83.33,PAYMENT
21753,624,17,2018-06-12 18:09:01,13.33,PAYMENT
19200,624,17,2018-05-13 18:08:32,13.33,PAYMENT
827,624,17,2017-07-16 18:08:21,13.33,PAYMENT
14939,624,17,2018-03-12 17:08:25,13.33,PAYMENT
7582,624,17,2017-11-12 17:08:13,83.33,PAYMENT
7583,624,17,2017-11-12 17:08:13,13.33,PAYMENT
19199,624,17,2018-05-13 18:08:32,83.33,PAYMENT
4366,769,18,2017-09-14 18:09:43,5050.04,PAYMENT
4367,769,18,2017-09-14 18:09:43,50.0,PAYMENT
4501,769,18,2017-09-17 18:08:10,466.67,PAYMENT
4502,769,18,2017-09-17 18:08:10,66.66,PAYMENT
9521,769,18,2017-12-14 17:08:16,416.67,PAYMENT
9522,769,18,2017-12-14 17:08:16,66.66,PAYMENT
19454,769,18,2018-05-14 18:08:30,66.66,PAYMENT
17096,769,18,2018-04-15 18:08:28,416.67,PAYMENT
21955,769,18,2018-06-14 18:08:46,416.67,PAYMENT
21956,769,18,2018-06-14 18:08:46,66.66,PAYMENT
11206,769,18,2018-01-14 17:08:21,416.67,PAYMENT
11207,769,18,2018-01-14 17:08:21,66.66,PAYMENT
17097,769,18,2018-04-15 18:08:28,66.66,PAYMENT
19453,769,18,2018-05-14 18:08:30,416.67,PAYMENT
15068,769,18,2018-03-14 17:08:25,416.67,PAYMENT
6047,769,18,2017-10-15 17:08:11,416.67,PAYMENT
6048,769,18,2017-10-15 17:08:11,66.66,PAYMENT
15069,769,18,2018-03-14 17:08:25,66.66,PAYMENT
24502,769,18,2018-07-15 18:09:19,66.66,PAYMENT
13157,769,18,2018-02-14 17:08:22,416.67,PAYMENT
13158,769,18,2018-02-14 17:08:22,66.66,PAYMENT
24501,769,18,2018-07-15 18:09:19,416.67,PAYMENT
7788,769,18,2017-11-14 17:08:12,416.67,PAYMENT
7789,769,18,2017-11-14 17:08:12,66.66,PAYMENT
8615,397,19,2017-11-27 17:08:16,583.33,PAYMENT
8616,397,19,2017-11-27 17:08:16,87.5,PAYMENT
10357,397,19,2017-12-27 17:08:17,583.33,PAYMENT
10358,397,19,2017-12-27 17:08:17,87.5,PAYMENT
5189,397,19,2017-09-27 18:08:09,87.5,PAYMENT
5188,397,19,2017-09-27 18:08:09,583.33,PAYMENT
12098,397,19,2018-01-28 17:08:21,583.33,PAYMENT
12099,397,19,2018-01-28 17:08:21,87.5,PAYMENT
1669,397,19,2017-07-27 18:08:40,87.5,PAYMENT
1668,397,19,2017-07-27 18:08:40,583.33,PAYMENT
3409,397,19,2017-08-27 18:09:20,583.33,PAYMENT
3410,397,19,2017-08-27 18:09:20,87.5,PAYMENT
6912,397,19,2017-10-29 17:08:13,583.33,PAYMENT
6913,397,19,2017-10-29 17:08:13,87.5,PAYMENT
14996,1162,20,2018-03-13 17:08:23,4049.96,PAYMENT
24491,1162,20,2018-07-15 18:09:19,333.33,PAYMENT
