,EulerId,AttributeName,AttributeValue
1,2,Asset Class,Domestic Equity
2,3,Asset Class,International Equity
3,4,Asset Class,ETF
4,5,Asset Class,Domestic Equity
5,6,Asset Class,Domestic Equity
6,7,Asset Class,International Equity
7,8,Asset Class,International Equity
8,9,Asset Class,International Equity
9,10,Asset Class,International Equity
10,11,Asset Class,International Equity
11,12,Asset Class,International Equity
12,13,Asset Class,ETF
13,14,Asset Class,Domestic Equity
14,15,Asset Class,Domestic Equity
15,16,Asset Class,ETF
16,17,Asset Class,International Equity
17,18,Asset Class,Domestic Equity
18,19,Asset Class,International Equity
19,20,Asset Class,International Equity
20,21,Asset Class,International Equity
21,22,Asset Class,Domestic Equity
22,23,Asset Class,Domestic Equity
23,24,Asset Class,Domestic Equity
24,25,Asset Class,International Equity
26,27,Asset Class,International Equity
27,28,Asset Class,International Equity
28,29,Asset Class,ETF
29,30,Asset Class,Domestic Equity
30,31,Asset Class,International Equity
31,32,Asset Class,International Equity
32,33,Asset Class,ETF
33,34,Asset Class,ETF
34,35,Asset Class,ETF
35,36,Asset Class,International Equity
37,38,Asset Class,International Equity
38,39,Asset Class,Domestic Equity
39,40,Asset Class,ETF
40,41,Asset Class,International Equity
41,42,Asset Class,Domestic Equity
42,43,Asset Class,International Equity
43,44,Asset Class,Domestic Equity
44,45,Asset Class,Domestic Equity
45,46,Asset Class,International Equity
46,47,Asset Class,International Equity
47,48,Asset Class,International Equity
48,49,Asset Class,ETF
49,50,Asset Class,ETF
50,51,Asset Class,ETF
51,52,Asset Class,International Equity
52,53,Asset Class,International Equity
53,54,Asset Class,ETF
54,55,Asset Class,International Equity
55,56,Asset Class,ETF
56,57,Asset Class,ETF
57,58,Asset Class,ETF
58,59,Asset Class,Domestic Equity
59,60,Asset Class,International Equity
60,61,Asset Class,Domestic Equity
61,62,Asset Class,International Equity
62,63,Asset Class,ETF
63,64,Asset Class,ETF
64,65,Asset Class,International Equity
65,66,Asset Class,Domestic Equity
66,67,Asset Class,Domestic Equity
67,68,Asset Class,International Equity
68,69,Asset Class,ETF
70,71,Asset Class,International Equity
72,73,Asset Class,International Equity
74,75,Asset Class,Domestic Equity
75,76,Asset Class,Domestic Equity
76,77,Asset Class,Domestic Equity
77,78,Asset Class,International Equity
78,79,Asset Class,International Equity
79,80,Asset Class,Domestic Equity
80,81,Asset Class,International Equity
81,82,Asset Class,ETF
82,83,Asset Class,Domestic Equity
83,84,Asset Class,Domestic Equity
84,85,Asset Class,International Equity
85,86,Asset Class,ETF
86,87,Asset Class,ETF
87,88,Asset Class,ETF
88,89,Asset Class,Domestic Equity
89,90,Asset Class,International Equity
90,91,Asset Class,International Equity
91,92,Asset Class,Domestic Equity
92,93,Asset Class,International Equity
93,94,Asset Class,Domestic Equity
94,95,Asset Class,ETF
95,96,Asset Class,Domestic Equity
96,97,Asset Class,International Equity
97,98,Asset Class,ETF
99,100,Asset Class,Domestic Equity
100,101,Asset Class,Domestic Equity
101,102,Asset Class,International Equity
102,103,Asset Class,ETF
103,104,Asset Class,Domestic Equity
105,106,Asset Class,International Equity
106,107,Asset Class,ETF
107,108,Asset Class,Domestic Equity
108,109,Asset Class,International Equity
109,110,Asset Class,Domestic Equity
110,111,Asset Class,International Equity
111,112,Asset Class,ETF
112,113,Asset Class,International Equity
113,114,Asset Class,International Equity
114,115,Asset Class,International Equity
115,116,Asset Class,Domestic Equity
116,117,Asset Class,Domestic Equity
117,118,Asset Class,Domestic Equity
118,119,Asset Class,Domestic Equity
119,120,Asset Class,International Equity
120,121,Asset Class,Domestic Equity
121,122,Asset Class,Domestic Equity
122,123,Asset Class,Domestic Equity
123,124,Asset Class,Domestic Equity
124,125,Asset Class,ETF
125,126,Asset Class,Domestic Equity
127,128,Asset Class,Domestic Equity
128,129,Asset Class,International Equity
129,130,Asset Class,Domestic Equity
130,131,Asset Class,International Equity
132,133,Asset Class,Domestic Equity
133,134,Asset Class,International Equity
134,135,Asset Class,International Equity
135,136,Asset Class,Domestic Equity
136,137,Asset Class,Domestic Equity
137,138,Asset Class,ETF
138,139,Asset Class,Domestic Equity
139,140,Asset Class,Domestic Equity
140,141,Asset Class,Domestic Equity
141,142,Asset Class,Domestic Equity
143,144,Asset Class,ETF
144,145,Asset Class,International Equity
146,147,Asset Class,Domestic Equity
147,148,Asset Class,ETF
148,149,Asset Class,International Equity
149,150,Asset Class,International Equity
150,151,Asset Class,Domestic Equity
151,152,Asset Class,Domestic Equity
152,153,Asset Class,ETF
153,154,Asset Class,International Equity
154,155,Asset Class,Domestic Equity
155,156,Asset Class,International Equity
156,157,Asset Class,ETF
157,158,Asset Class,Domestic Equity
158,159,Asset Class,Domestic Equity
159,160,Asset Class,ETF
160,161,Asset Class,Domestic Equity
161,162,Asset Class,International Equity
162,163,Asset Class,Domestic Equity
164,165,Asset Class,Domestic Equity
165,166,Asset Class,Domestic Equity
166,167,Asset Class,International Equity
167,168,Asset Class,International Equity
168,169,Asset Class,Domestic Equity
169,170,Asset Class,ETF
170,171,Asset Class,Domestic Equity
171,172,Asset Class,International Equity
173,174,Asset Class,Domestic Equity
174,175,Asset Class,ETF
175,176,Asset Class,International Equity
176,177,Asset Class,Domestic Equity
177,178,Asset Class,Domestic Equity
178,179,Asset Class,Domestic Equity
179,180,Asset Class,Domestic Equity
180,181,Asset Class,International Equity
181,182,Asset Class,Domestic Equity
182,183,Asset Class,Domestic Equity
184,185,Asset Class,Domestic Equity
185,186,Asset Class,Domestic Equity
187,188,Asset Class,Domestic Equity
188,189,Asset Class,International Equity
190,191,Asset Class,International Equity
191,192,Asset Class,International Equity
192,193,Asset Class,ETF
193,194,Asset Class,Domestic Equity
194,195,Asset Class,International Equity
195,196,Asset Class,ETF
197,198,Asset Class,ETF
198,199,Asset Class,Domestic Equity
200,201,Asset Class,Domestic Equity
201,202,Asset Class,Domestic Equity
202,203,Asset Class,Domestic Equity
203,204,Asset Class,Domestic Equity
204,205,Asset Class,International Equity
206,207,Asset Class,Domestic Equity
207,208,Asset Class,ETF
208,209,Asset Class,Domestic Equity
209,210,Asset Class,Domestic Equity
210,211,Asset Class,Domestic Equity
211,212,Asset Class,International Equity
212,213,Asset Class,International Equity
213,214,Asset Class,International Equity
214,215,Asset Class,International Equity
215,216,Asset Class,International Equity
216,217,Asset Class,International Equity
217,218,Asset Class,Domestic Equity
218,219,Asset Class,ETF
219,220,Asset Class,ETF
220,221,Asset Class,International Equity
221,222,Asset Class,International Equity
222,223,Asset Class,International Equity
224,225,Asset Class,ETF
225,226,Asset Class,International Equity
227,228,Asset Class,ETF
228,229,Asset Class,International Equity
229,230,Asset Class,International Equity
230,231,Asset Class,ETF
231,232,Asset Class,Domestic Equity
232,233,Asset Class,International Equity
233,234,Asset Class,International Equity
234,235,Asset Class,Domestic Equity
235,236,Asset Class,International Equity
236,237,Asset Class,Domestic Equity
237,238,Asset Class,ETF
238,239,Asset Class,Domestic Equity
239,240,Asset Class,Domestic Equity
240,241,Asset Class,ETF
241,242,Asset Class,ETF
242,243,Asset Class,Domestic Equity
244,245,Asset Class,ETF
245,246,Asset Class,International Equity
246,247,Asset Class,International Equity
247,248,Asset Class,Domestic Equity
248,249,Asset Class,Domestic Equity
250,251,Asset Class,International Equity
251,252,Asset Class,ETF
252,253,Asset Class,International Equity
253,254,Asset Class,ETF
254,255,Asset Class,International Equity
257,258,Asset Class,International Equity
258,259,Asset Class,Domestic Equity
259,260,Asset Class,ETF
260,261,Asset Class,ETF
261,262,Asset Class,International Equity
262,263,Asset Class,Domestic Equity
263,264,Asset Class,Domestic Equity
264,265,Asset Class,Domestic Equity
265,266,Asset Class,Domestic Equity
266,267,Asset Class,ETF
267,268,Asset Class,ETF
270,271,Asset Class,ETF
271,272,Asset Class,International Equity
272,273,Asset Class,ETF
275,276,Asset Class,International Equity
276,277,Asset Class,Domestic Equity
277,278,Asset Class,ETF
278,279,Asset Class,International Equity
279,280,Asset Class,ETF
280,281,Asset Class,ETF
281,282,Asset Class,Domestic Equity
282,283,Asset Class,Domestic Equity
283,284,Asset Class,ETF
284,285,Asset Class,ETF
285,286,Asset Class,ETF
286,287,Asset Class,International Equity
287,288,Asset Class,ETF
289,290,Asset Class,International Equity
290,291,Asset Class,Domestic Equity
291,292,Asset Class,International Equity
292,293,Asset Class,ETF
293,294,Asset Class,Domestic Equity
294,295,Asset Class,International Equity
295,296,Asset Class,ETF
296,297,Asset Class,ETF
297,298,Asset Class,Domestic Equity
298,299,Asset Class,ETF
299,300,Asset Class,Domestic Equity
300,301,Asset Class,ETF
301,302,Asset Class,ETF
302,303,Asset Class,International Equity
304,305,Asset Class,International Equity
305,306,Asset Class,International Equity
306,307,Asset Class,International Equity
307,308,Asset Class,ETF
308,309,Asset Class,International Equity
309,310,Asset Class,ETF
310,311,Asset Class,ETF
311,312,Asset Class,Domestic Equity
313,314,Asset Class,Domestic Equity
314,315,Asset Class,International Equity
315,316,Asset Class,Domestic Equity
316,317,Asset Class,Domestic Equity
317,318,Asset Class,Domestic Equity
319,320,Asset Class,International Equity
320,321,Asset Class,International Equity
321,322,Asset Class,International Equity
322,323,Asset Class,ETF
323,324,Asset Class,Domestic Equity
324,325,Asset Class,ETF
325,326,Asset Class,International Equity
326,327,Asset Class,International Equity
328,329,Asset Class,ETF
329,330,Asset Class,Domestic Equity
330,331,Asset Class,Domestic Equity
331,332,Asset Class,ETF
333,334,Asset Class,Domestic Equity
334,335,Asset Class,International Equity
335,336,Asset Class,International Equity
336,337,Asset Class,Domestic Equity
337,338,Asset Class,Domestic Equity
338,339,Asset Class,ETF
339,340,Asset Class,ETF
340,341,Asset Class,ETF
341,342,Asset Class,ETF
342,343,Asset Class,ETF
343,344,Asset Class,International Equity
344,345,Asset Class,International Equity
345,346,Asset Class,ETF
346,347,Asset Class,International Equity
347,348,Asset Class,International Equity
348,349,Asset Class,Domestic Equity
350,351,Asset Class,Domestic Equity
351,352,Asset Class,ETF
352,353,Asset Class,International Equity
353,354,Asset Class,ETF
354,355,Asset Class,Domestic Equity
355,356,Asset Class,Domestic Equity
356,357,Asset Class,International Equity
357,358,Asset Class,International Equity
358,359,Asset Class,ETF
359,360,Asset Class,ETF
360,361,Asset Class,ETF
361,362,Asset Class,ETF
362,363,Asset Class,ETF
363,364,Asset Class,ETF
364,365,Asset Class,ETF
365,366,Asset Class,International Equity
366,367,Asset Class,Domestic Equity
367,368,Asset Class,International Equity
368,369,Asset Class,International Equity
369,370,Asset Class,Domestic Equity
370,371,Asset Class,Domestic Equity
371,372,Asset Class,Domestic Equity
372,373,Asset Class,ETF
373,374,Asset Class,Domestic Equity
374,375,Asset Class,International Equity
375,376,Asset Class,International Equity
376,377,Asset Class,International Equity
377,378,Asset Class,Domestic Equity
378,379,Asset Class,Domestic Equity
379,380,Asset Class,International Equity
380,381,Asset Class,International Equity
381,382,Asset Class,International Equity
382,383,Asset Class,Domestic Equity
383,384,Asset Class,International Equity
384,385,Asset Class,Domestic Equity
385,386,Asset Class,Domestic Equity
387,388,Asset Class,International Equity
388,389,Asset Class,International Equity
389,390,Asset Class,Domestic Equity
390,391,Asset Class,ETF
391,392,Asset Class,International Equity
392,393,Asset Class,ETF
393,394,Asset Class,Domestic Equity
394,395,Asset Class,International Equity
395,396,Asset Class,Domestic Equity
396,397,Asset Class,ETF
397,398,Asset Class,International Equity
398,399,Asset Class,International Equity
399,400,Asset Class,ETF
400,401,Asset Class,ETF
401,402,Asset Class,International Equity
402,403,Asset Class,Domestic Equity
403,404,Asset Class,International Equity
404,405,Asset Class,International Equity
405,406,Asset Class,International Equity
406,407,Asset Class,Domestic Equity
407,408,Asset Class,ETF
408,409,Asset Class,ETF
409,410,Asset Class,International Equity
411,412,Asset Class,ETF
412,413,Asset Class,ETF
413,414,Asset Class,International Equity
414,415,Asset Class,Domestic Equity
415,416,Asset Class,Domestic Equity
416,417,Asset Class,International Equity
417,418,Asset Class,ETF
418,419,Asset Class,International Equity
419,420,Asset Class,International Equity
420,421,Asset Class,International Equity
421,422,Asset Class,International Equity
422,423,Asset Class,Domestic Equity
423,424,Asset Class,ETF
424,425,Asset Class,International Equity
425,426,Asset Class,Domestic Equity
426,427,Asset Class,Domestic Equity
427,428,Asset Class,ETF
428,429,Asset Class,Domestic Equity
431,432,Asset Class,ETF
432,433,Asset Class,International Equity
433,434,Asset Class,ETF
436,437,Asset Class,Domestic Equity
437,438,Asset Class,Domestic Equity
438,439,Asset Class,ETF
439,440,Asset Class,International Equity
440,441,Asset Class,International Equity
441,442,Asset Class,ETF
442,443,Asset Class,International Equity
444,445,Asset Class,International Equity
445,446,Asset Class,Domestic Equity
446,447,Asset Class,International Equity
447,448,Asset Class,Domestic Equity
449,450,Asset Class,Domestic Equity
450,451,Asset Class,International Equity
451,452,Asset Class,International Equity
452,453,Asset Class,Domestic Equity
453,454,Asset Class,Domestic Equity
454,455,Asset Class,International Equity
455,456,Asset Class,Domestic Equity
456,457,Asset Class,International Equity
457,458,Asset Class,International Equity
458,459,Asset Class,International Equity
459,460,Asset Class,Domestic Equity
460,461,Asset Class,Domestic Equity
461,462,Asset Class,Domestic Equity
464,465,Asset Class,Domestic Equity
465,466,Asset Class,Domestic Equity
466,467,Asset Class,International Equity
467,468,Asset Class,ETF
468,469,Asset Class,Domestic Equity
469,470,Asset Class,International Equity
470,471,Asset Class,International Equity
471,472,Asset Class,Domestic Equity
472,473,Asset Class,Domestic Equity
473,474,Asset Class,Domestic Equity
474,475,Asset Class,Domestic Equity
475,476,Asset Class,Domestic Equity
476,477,Asset Class,International Equity
