RequestId,Company Name,Security Name,Asset Class,Inception Date,Return Since Inception
0,,John Hancock Investors Trust Common Stock,,,-0.12518908354828404
1,"Prosperity Bancshares, Inc. Common Stock","Prosperity Bancshares, Inc. Common Stock",Domestic Equity,2019-09-12,
2,,MFS Municipal Income Trust Common Stock,Domestic Equity,2002-11-20,-0.09372220251180216
3,,"Carbo Ceramics, Inc. Common Stock",International Equity,2011-09-06,-0.299086169188303
4,"Ally Financial Inc Fixed Rate Floating Rate Perpetual Preferred Stock, Series A","Ally Financial Inc Fixed Rate Floating Rate Perpetual Preferred Stock, Series A",Domestic Equity,2018-10-18,-0.032686673018757356
5,Liberty All,"Liberty All-Star Growth Fund, Inc.",Domestic Equity,2006-08-28,-0.20294767198569716
6,Vanguard Mega Cap Growth ETF,Vanguard Mega Cap Growth ETF,ETF,2019-04-16,0.3083589134417776
7,"Citizens Financial Group, Inc. Common Stock","Citizens Financial Group, Inc. Common Stock",International Equity,,-0.12638409394326278
8,,"Phoenix Companies, Inc. Phoenix Companies Inc 7.45% Pfd",International Equity,2013-02-19,0.17472009661031046
9,PowerShares China A,PowerShares China A-Share Portfolio,ETF,2009-05-11,-0.08186791787530698
10,"Total System Services, Inc. Common Stock","Total System Services, Inc. Common Stock",International Equity,2004-01-23,-0.3247564653321631
11,Urstadt Biddle Properties Inc. Pfd Ser F,Urstadt Biddle Properties Inc. Pfd Ser F,,2011-04-06,0.02269287157244932
12,AEGON N.V. Perp. Cap Secs.,AEGON N.V. Perp. Cap Secs.,,2015-10-25,
13,SL Green Realty Corporation Preferred Series I,SL Green Realty Corporation Preferred Series I,International Equity,2013-11-25,0.2923675623633005
14,Encana Corporation,Encana Corporation,Domestic Equity,2020-10-26,-0.11105280090530309
15,"Holly Energy Partners, L.P. Common Stock","Holly Energy Partners, L.P. Common Stock",International Equity,2010-09-23,0.1930404570170841
16,"Key Energy Services, Inc. Common Stock","Key Energy Services, Inc. Common Stock",Domestic Equity,2009-12-02,-0.006921016185181409
17,iShares MSCI Singapore Index Fund,iShares MSCI Singapore Index Fund,ETF,2000-07-09,-0.0273741796999029
18,"CVENT, INC. Common Stock","CVENT, INC. Common Stock",Domestic Equity,2006-01-04,0.19190985606897998
19,Polymet Mining Corporation Ordinary Shares (Canada),Polymet Mining Corporation Ordinary Shares (Canada),International Equity,2010-08-06,0.1724587430949746
20,,"Cheniere Energy Partners, LP Cheniere Energy Partners, LP Common Units",International Equity,2016-02-08,0.019615535423312673
21,Tyco International plc (Ireland) Ordinary Share,Tyco International plc (Ireland) Ordinary Share,Domestic Equity,2020-10-18,0.2233383348364868
22,Western Asset Emerging Markets Debt Fund Inc Common Stock,Western Asset Emerging Markets Debt Fund Inc Common Stock,,2001-05-10,0.04283324081801068
23,"Roundy's, Inc. Common Stock","Roundy's, Inc. Common Stock",Domestic Equity,2003-03-21,0.19116608634026722
24,Archer,Archer-Daniels-Midland Company Common Stock,International Equity,2000-03-16,-0.25057999805562076
