RequestId,Symbol,QUEUESIP,MIC
0,JHI,0x100315,XJSE
1,PB,,XNYS
2,,0x100d1e,XNAS
3,CRR,0x100f43,XNYS
4,ALLYpB,0x101566,XNAS
5,ASG,0x101641,XNYS
6,MGK,0x10189c,XAMS
7,,0x10227a,XSHG
8,PFX,0x102c28,XTSE
9,CHNA,0x103c8a,XNAS
10,TSS,0x1055a,XFRA
11,UBPpF,,XTSE
12,,0x105e3d,XNYS
13,SLGpI,0x106311,XNYS
14,,0x1069c5,XSAU
15,,0x107425,XSHG
16,KEG,0x107510,XNAS
17,EWS,0x10752d,XNYS
18,,0x107647,XNAS
19,,0x108791,XNYS
20,CQP,0x108e8a,XNAS
21,,0x109323,XNYS
22,ESD,0x10975f,XNYS
23,,0x10a711,XNAS
24,,0x10a9b,XNYS
25,STRI,0x10ab54,XNYS
26,TIP,0x10ad69,XNYS
27,ST,,XNYS
28,FXZ,0x10b3c,XNYS
29,,0x10b56b,XJPX
30,,0x10bbf5,XNYS
31,BACpI,0x10c036,XSAU
32,RUSS,0x10c304,XNYS
33,GSpB,0x10c79a,XNAS
34,JPI,0x10cadd,XBOM
35,PLOW,,XNYS
36,KAMN,0x10d2be,XASX
37,RF,,XNYS
38,,0x10d88f,XTSE
39,VXZ,0x10db2c,XNAS
40,ESTX,,XNAS
41,BHP,0x10f058,XNYS
42,NRP,0x10f726,XNAS
43,,0x10faa6,XNYS
44,SIPE,0x1108f1,XJSE
45,FHK,0x110f97,XNYS
46,FEZ,0x111254,XNYS
47,,0x111b2c,XNYS
48,UBG,0x111e01,XJSE
49,,0x112762,XSAU
50,AYN,0x1137a2,XNAS
51,,0x1142bd,XJSE
52,AA,0x114509,XNYS
53,,0x114fef,XNAS
54,INVN,0x115546,XNYS
55,TLLP,0x1157bd,XTAI
56,KGC,0x11622c,XNYS
57,,0x11635,XNYS
58,CLNY,0x116872,XNYS
59,IBMI,0x116a5c,XTSE
60,EVGN,0x116b7e,XNAS
61,SCHA,0x117109,XSHE
62,,0x117119,XNYS
63,DIV,0x117580,XNAS
64,DATA,0x11923f,XNAS
65,BGX,,XNAS
66,EQCO,0x119454,XASX
67,WCIC,0x1195c4,XNAS
68,RPG,,XTSE
69,,0x119b0c,XSHG
70,,0x119c17,XNAS
71,,0x11a14d,XJPX
72,SALT,0x11b54b,XJSE
73,WBIL,0x11b5a,XNYS
74,RIF,,XNAS
75,,0x11c6da,XNYS
76,UUP,0x11c857,XASX
77,,0x11cc19,XTSE
78,PL,0x11d075,XSHG
79,,0x11d9b,BVMF
80,MIL,0x11ea42,XTAI
81,,0x11f92c,XNYS
82,DZZ,,BVMF
83,TOTS,0x122031,XNAS
84,SBI,0x1222c6,XNAS
85,,0x122e,XSHE
86,,0x123aed,XNAS
87,,0x123e04,XNAS
88,,0x124725,XNYS
89,EMSA,0x124da4,XNYS
90,,0x124e00,XNAS
91,BKK,,XNAS
92,GUA,0x125343,XNYS
93,EMXX,,XNYS
94,IWS,0x125d4a,XNAS
95,,0x125ff6,XNYS
96,ENZL,0x12657b,XNAS
97,PXSC,0x12729f,XNYS
98,,0x1276a4,XNYS
99,,0x127e69,XKOS
100,,0x1281c6,XNYS
101,,0x1281e5,XNYS
102,,0x12966d,XASX
103,FLY,0x129a96,XHKG
104,BACpZ,0x129e40,XNYS
105,,0x12bb9a,XNYS
106,AL,0x12c001,XSWX
107,UGI,0x12c982,XTSE
108,BOM,0x12cd5d,XNYS
109,,0x12d849,XNAS
110,,0x12e450,XNYS
111,CPK,0x12ea5,XLON
112,,0x12f165,XNSE
113,,0x12f812,XNYS
114,REET,0x1301e3,XNYS
115,HYEM,0x13026,XJSE
116,BKJ,0x130a5f,XNAS
117,NSU,0x13190,XNYS
118,TVPT,0x131b3f,XNYS
119,FTF,0x132123,XASX
120,EXP,0x1322e6,XNAS
121,PRN,0x132e41,XBOM
122,CORR,0x1351e,XJSE
123,CYNI,0x1352e7,XJPX
124,PBT,0x135580,XNAS
125,DD,0x137260,XNAS
126,,0x1372dd,XSWX
127,,0x137a2c,XNYS
128,AET,0x137cb5,XNAS
129,RFpB,0x138719,XNAS
130,VLY/WS,,XFRA
131,PPA,0x138b5f,XTAI
132,MFO,0x139297,XSAU
133,DFJ,0x139574,XNYS
134,,0x139616,XSHE
135,NQP,0x139a91,XNYS
136,UDNT,0x13a2aa,XFRA
137,,0x13b3af,XSWX
138,AAV,,XNYS
139,,0x13c09d,XKOS
140,SSD,0x13cb19,XNYS
141,JJS,0x13cda8,XNYS
142,GTN,0x13e103,XNAS
143,FHN,0x13f072,XNAS
144,DEM,0x13f349,XTAI
145,NGS,,XNYS
146,FCH,0x14045a,XNAS
147,NEAR,0x140d,XNYS
148,PFXF,0x140e27,XNYS
149,BTA,0x141e38,XTAI
150,,0x1420a7,XLON
151,PQ,0x1420ac,XSAU
152,XLS,0x14224f,XKOS
153,BTI,0x1429ab,XNYS
154,BPS,0x1436a3,XNAS
155,NVGS,,XNYS
156,RCAP,0x143ea5,XNAS
157,GRXpA,0x144227,XNYS
158,CCSC,0x144644,XNYS
159,RCG,0x1446b4,XNYS
160,ASR,,XNYS
161,,0x145a3b,XNYS
162,IDT,0x14634,XAMS
163,,0x1469c0,XNYS
164,TYNS,,XNYS
165,,0x14703,XSAU
166,NHCpA,0x1473cf,XNYS
167,AFB,0x147c0b,XNYS
168,TPUB,0x147e1,XNYS
169,PEX,0x147f41,XNAS
170,JRN,0x1480fd,XNSE
171,,0x1482b,XNAS
172,NVX,0x149a8f,XNYS
173,PWV,0x14a538,XKOS
174,,0x14a86c,XNYS
175,,0x14b58,XNYS
176,AZZ,0x14c3d9,XNAS
177,,0x14d083,XTSE
178,,0x14d424,XNAS
179,HTpC,,XJSE
180,WEC,0x14da23,XNYS
181,IPE,0x14efd3,XNYS
182,,0x14f4d9,XNYS
183,,0x14f5bb,XTSE
184,,0x14f69e,XSHE
185,FRO,0x14f9e9,XNYS
186,XRS,,XNYS
187,SHLX,0x150a9,XTAI
188,SPHD,0x151055,XNYS
189,DSX,0x151151,XNAS
190,NOV,0x15168b,XTSE
191,SMK,0x1518f,XNYS
192,RLGT,0x151a19,XBOM
193,AFpC,0x151b65,XNYS
194,TPH,0x151d7e,XNYS
195,SON,0x15213d,XNYS
196,POR,0x1529e9,XNSE
197,KMT,0x1538cd,XFRA
198,ALLY,0x1539b9,XNAS
199,NHC,,XJSE
200,,0x154539,XNYS
201,,0x15493d,XNYS
202,GJH,0x154c3c,XAMS
203,COBO,0x15562d,XSHG
204,ACU,0x15624e,XNYS
205,JW/B,0x156367,XNYS
206,WMC,0x15657d,XNYS
207,AWR,0x156e0c,XNAS
208,,0x1571c9,XNYS
209,MVNR,0x15769b,XAMS
210,,0x15910b,XNYS
211,GNI,0x159442,XSAU
212,TRGP,0x15965d,XNYS
213,RWW,0x15a390,XNYS
214,EHI,0x15adbb,XNAS
215,GLT,0x15b67a,XNYS
216,MBI,0x15b865,XNSE
217,CpL,0x15bfbd,XNYS
218,PIM,0x15c51d,XAMS
219,PBJ,0x15c851,XSAU
220,FPP/WS,0x15ca2f,XNYS
221,,0x15cd69,XNYS
222,JRI,0x15d3ad,XNYS
223,,0x15d559,XNSE
224,,0x15eb7b,XTSE
225,OII,0x15f522,XNAS
226,,0x15fb47,XTSE
227,AIG/WS,0x161fa1,XTAI
228,NUO,0x1628a1,XNAS
229,MSC,0x1629f4,XNAS
230,ANTM,0x162acd,XTSE
231,JPW,,XSWX
232,,0x163f,XNAS
233,,0x16438a,XNYS
234,,0x164482,XSAU
235,SNP,0x16450e,XSAU
236,UCI,0x164a9f,XNYS
237,IPHI,0x164d74,XNYS
238,,0x164fb1,XTSE
239,,0x16542e,XKOS
240,FET,0x165ee0,XTSE
241,FNDX,0x166871,XNAS
242,SILJ,0x166bc4,XTSE
243,JKG,,XNYS
244,ALL,0x166f5c,XNYS
245,IP,0x16795c,XHKG
246,MCA,0x168020,XNYS
247,TAI,0x168a48,XFRA
248,VVI,,XHKG
249,RGI,0x168c0,XNYS
250,MAN,0x1693df,XSAU
251,,0x1695b1,XNAS
252,,0x16aba9,XNAS
253,EWHS,0x16b783,XLON
254,,0x16b7ec,XSHG
255,DTT,0x16bbb9,XTSE
256,,0x16bdb0,XNSE
257,,0x16cfc8,XTAI
258,STS,0x16d6d0,XTAI
259,AXSpC,0x16e5f6,XNAS
260,,0x16e659,XNAS
261,,0x16ffe3,XTSE
262,HIG/WS,0x170568,XNYS
263,BSCH,0x171717,XASX
264,XEL,,XNSE
265,CSCR,0x1720b0,XKOS
266,SCHC,0x172b46,XTAI
267,NML,0x172c5a,XSHE
268,,0x172d91,XNAS
269,OCRpA,0x173317,XNAS
270,MLPA,0x173368,XSHE
271,,0x1738b1,XNYS
272,,0x173a2a,XNYS
273,IRM,0x1756,XTSE
274,MCD,0x1762a3,XNYS
275,LIT,0x176591,XNYS
276,GPS,0x1766d0,XFRA
